Name,Botanical_name,Botanical_family,Synonyms,CAS_No,FL_No,FEMA_No,NAS_No,CoE_No,EINECS_No,JECFA_No,E_No,Description,Consumption,Individual,CoE,FDA,FDA_other,JECFA,Trade_association_guidelines,IOFI,Specifications,Reported_uses_ppm,Food_Category_Usual_Max,Aroma_threshold_values,Taste_threshold_values,Empirical_Formula_MW,Synthesis,Natural_occurrence,EAFUS_No,Derivatives,Derivative_names,NOTE,Foreign_names,Essential_oil_composition,Genus_Species,Composition,INS_No,Animal_family,Physical_chemical_characteristics
"SAVORY (WINTER) OIL",,,,,,3016,3016,,,,,"Obtained. by. steam. distillation. in. approximately. 0.18%. yields.  The. essential. oil. is. an. orange-yellow. liquid.  Until recently, little has been done to standardize and to differentiate the various types of essential oils. The commercial qualities of oils are identified as S. montana, or winter savory, but a more defined classification is needed ","<1.00 lb","<1.00 mg/kg/day",,"21 CFR 182.20, 582.20","See Savory, Winter ",,"5.643 mg",Natural,"Appearance; Pale-yellow liquid; Specific gravity; 0.87500–0.95400 (25°C); Refractive index; 1.486–1.505 (20°C)","(FEMA, 1994)","[['Baked goods', '6.86', '8.48'], ['Meat products', '50.00', '60.00'], ['Condiments, relishes', '83.75', '105.00'], ['Soft candy', '7.75', '10.00']]",,,,,,977029-74-5,,,,,"Essential. oil. from. winter. savory. includes. the. phenols. carvacrol. and. thymol,. as. well. as. p-cymene, l-linolool, l-terpineol, d-borneol, dihydrocuminyl alcohol, 1-carvone, l-menthone and various organic acids. The oil contains 30 to 40% carvacrol and small amounts of phenols and cymene-type hydrocarbons. A few varieties of S. montana contain, in addition to carvacrol, fairly large amounts of thymol ",,,,,
"SAVORY (WINTER) OLEORESIN",,,,,,3017,3017,,,,,"See Savory, Winter ","<1.00 lb","<1.00 mg/kg/day",,"21 CFR 182.20; 582.20",,,"8.349 mg",Natural,,"(FEMA, 1994)","[['Baked goods', '5.22', '11.64'], ['Meat products', '88.00', '100.00'], ['Condiments, relishes', '78.67', '126.60'], ['Soft candy', '7.06', '12.05']]",,,,,,977029-76-7,,,,,,,,,,
"SCHINUS MOLLE","Schinus molle L",Anacardiaceae,"Peruvian pepper tree; Peruvian mastic; California pepper tree; American pepper tree",,,,,427,,,,"Shrubs probably native to the trans-Andean regions in South America and now acclimated and cultivated around the Mediterranean basin. The plant may reach 8 m (26 ft) in height and has characteristic deflexed branches bearing alternate, stipuleless leaves consisting of 15 to 27 lanceolate, acuminate, dentate leaflets; it has white flowers in axillary terminal clusters; red, globose, fleshy, oil berries; and seeds with a recurved embryo containing very little albumen. The plant blooms in May and June. The fruits (berries) and leaf are the parts used. Schinus molle has a warm, spicy odor with a biting flavor, less pungent than black pepper ",,,"3000 ppm in beverages and food. Fruit:Category 4 (with limits on carvacrol)","See Schinus Molle Oil",,,,,,,,,,,,,,"Fluid extract, tincture and essential oil",,,"Poivrier d’Amérique, Faux poivrier, Molee des jardins (Fr ), Mollebaum, Weichpfeffer (Ger ), Pimentero falso, Arvoiera (Sp ), Schino (It )",,,,,,
"SCHINUS MOLLE OIL",,,"Molle oil; Oleoresin molle; Oils, Schinus molle",68917-52-2,9.746,3018,3018,427,,,,"The oil is obtained by steam distillation of the fruits (berries) of the small or medium size plant. It has a fresh, spicy odor and flavor. The oil was a popular substitute for black pepper oil during shortages of the latter; today it is used only sporadically in flavor work ","<1.00 lb","0.001842 mg/kg/day","baked goods 18.79; frozen dairy 34.52; meat products 200.8; condiments, relishes 55.48; soft candy 14.38; gelatins, puddings 19.18; nonalcoholic beverages 11.51; alcoholic beverages 25 ","21 CFR 182.20; 582.20",,,"19.368 mg",Natural,,"(FEMA, 1994)","[['Alcoholic beverages', '20.00', '25.00'], ['Gelatins, puddings', '15.34', '19.18'], ['Baked goods', '11.74', '18.79'], ['Meat products', '187.70', '200.80'], ['Condiments, relishes', '32.83', '55.48'], ['Nonalcoholic beverages', '9.59', '11.51'], ['Frozen dairy', '28.77', '34.52'], ['Soft candy', '9.68', '14.38']]",,"Taste characteristics at 25 ppm; peppery, woody, aromatic, seedy, biting, ginger and juniper ",,,,,,,,,"Main constituents. include carvacrol,. phellandrene, thyrnol,. pinene, an. unidentified. resin and a few high-molecular-weight ketones. The oil from fruits contains a number of terpenic hydrocarbons (limonene 4 to 9%, a-phellandrene ~25%, β-phellandrene ~7%, myrcene 5 to 19%; α-pinene 1 to 3%, δ-cadinene 4 to 7%, π-cymene 6 to 12%), phenolic compound (carvacrol 0.6 to 1%), ester (methyl octanoate 0.2 to 1.6%) (CoE, 2000). The essential oil from leaves contains monoterpinic and sesquiterpenic hydrocarbons (β-pinene ~14%, sabinene ~13%, myrcene ~5%, limonene <0.68%, β-phellandrene 0.3%, γ-terpinene 1.13%, β-caryophyllene 7.68%, α-humulene 0.57%, germacrene-D 12.08%, bicyclogermacrene 29.20%, δ-cadinene 1.26%), oxygen-ated terpenic compounds (linalool 0.71%, terpinen-4-ol 10.57%, α-terpineol 1.25%, carophyllene oxide 0.53%, germacrone 0.75%) (CoE, 2000) ",,,,,"The oil is a pale green to olive-green liquid"
SCLAREOLIDE,,,"Decahydrotetramethylnaphtho-furanone; Naphtho[2,1-b]furan-2(1H)-one, deca-hydro-3a,6,6,9a-tetramethyl, [3aR-(3a α,5aβ,9aα,9bβ]; Norambrienolide",564-20-5,16.055,3794,3794,,209-269-0,1165,,"Sclareolide has a musky, wood odor ","70.00 lb","0.0008333 mg/kg/day",,,,"Acceptable. No safety concern at current levels of intake when used as a flavoring agent (2003)","0.818 mg",,"(JECFA, 2008); Appearance; White crystalline powder; Melting point; 124.4°C; Assay (min); 98%; Solubility; Insoluble in water; slightly soluble in ; ethanol; soluble in acetone and ; toluene","(FEMA, 1994)","[['Alcoholic beverages', '1.00', '5.00'], ['Meat products', '1.00', '4.00'], ['Baked goods', '2.00', '3.00'], ['Milk products', '2.00', '4.00'], ['Breakfast cereals', '1.00', '3.00'], ['Nonalcoholic beverages', '1.00', '5.00'], ['Cheese', '1.00', '3.00'], ['Processed vegetables', '1.00', '2.00'], ['Fats, oils', '1.00', '2.00'], ['Reconstituted vegetables', '1.00', '2.00'], ['Fish products', '1.00', '2.00'], ['Seasonings, flavors', '1.00', '3.00'], ['Frozen dairy', '1.00', '3.00'], ['Snack foods', '2.00', '4.00'], ['Fruit juice', '1.00', '3.00'], ['Soft candy', '1.00', '3.00'], ['Gelatins, puddings', '1.00', '2.00'], ['Soups', '1.00', '2.00'], ['Gravies', '1.00', '2.00'], ['Sugar substitutes', '1.00', '3.00'], ['Hard candy', '1.00', '3.00'], ['Sweet sauce', '1.00', '2.00'], ['Imitation dairy', '3.00', '10.00']]",,,C16H26O2/250.38,"Sclareol, isolated from clary sage by solvent extraction, can be efficiently oxidized by the microorganism Cryptococcus albidus to sclareolide ","Reported present in clary sage bush (Salvia sclarea)",,,,,,,,,,,
"SCOTCH SPEARMINT OIL","Mentha cardiaca, L ",Lamiaceae,"Scotch mint oil",91770-24-0,,4221,,,,,,"Oil is produced by steam distillation of the flowering tops of the plants, which are partially dried prior to distillation. The distillation is carried out in the fields in stills ",,,,"21 CFR 172.230, 182.20",,,"12.572 mg",Natural,"(JECFA, 2008); Boiling point; 220°C ; Solubility; Insoluble in water and glycerin; ; soluble in ethanol, fixed oils, paraffin ; oil, and propylene glycol; Optical rotation; -48.0 to -59.0°; Specific gravity; 0.917–0.934 (25°C); Refractive index; 1.479–1.489 (20°C)","(FEMA, 2005)","[['Chewing gum', '2000.00', '8000.00'], ['Jams, jellies', '100.00', '200.00'], ['Condiments, relishes', '50.00', '250.00'], ['Seasonings, flavors', '1000.00', '5000.00'], ['Frozen dairy', '50.00', '130.00'], ['Soft candy', '1500.00', '2000.00'], ['Hard candy', '1500.00', '2000.00'], ['Sweet sauce', '40.00', '90.00']]","Medium strength odor, minty type; recommend smelling in a 10% solution ","Fresh green spearmint, cooling, candy, leafy, spicy with a wintergreen afternote taste at 25 ppm ",,,,,,,,,,,,,,"Colorless to pale yellow clear oily liquid; fresh spearmint carvone aroma"
SENNA,"Alexandria senna—Senna acutifolia Nect ;  also. called. Cassia acutifolia Delile;  incorrectly. known. as. C. Alexandria Mill. Tinnevelly senna—C. medicinalis Bischoff; also called C. augustifolia Vahl; the Tinnevelly variety, also known as C. lanceolata Royle, or incorrectly as C. acutifolia Delile, belongs to this class. S. italica Lamk. or C. senna Lamk ; also known as C. obovata Coll. (Hayne)",Fabaceae,"Alexandrian Senna; Nubian Senna; Cassia lenitive; Cassia officinalis; Cassia aethiopica; Egyptian Senna; East Indian Senna",8013-11-4,,,6148,,,,,"A shrub up to 2 m (6.5 ft) tall; grows in tropical and subtropical countries and is cultivated in India and Pakistan. Some confusion exists in the botanical classification. Some pharmacopeae permit the use of only the Tinnevelly variety, C. augustifolia Vahl. This variety is taller and has a thicker foliage and smaller fruits than C. acutifolia Delile. Also, C. obovata is often classified as C. alexandria. C. medicinalis Bischoff var. Royleana has pinnate leaves consisting of a 7 to 15 cm long rachis and from five to nine pairs of short-petioled, lanceolate leaflets with an asymmetric base and acuminate apex. The fruits, commercially known as fol-licales, are greenish or sometimes brownish. The part used is the leaflet. Senna is the most commonly used laxative ","71.67 lb","0.00006073 mg/kg/day",,"21 CFR 172.510","HOC (1992)","Trade association guidelines:IOFI:NaturalComposition:The leaves contain sennaemodin, sermanigrin, sermarhamnetin, and anthraquinones. Presence of anthraquinones including dianthrone glycosides, sennosides A and B (rhein dianthrones), sennosides C and D (rhein aloeemodin heterodianthrones) and several sennosides have been detected. Similar to leaves, the pod also contains rhein dianthrone glycosides. Two naphthalene gly-cosides isolated from senna leaves and pods are 6-hydroxymusicin glucoside and tinnevellin glucoside * Senna contains anthracene derivatives (2.5 to 3.5% in the leaves, ~3.4% in the fruits of C. senna, 2.2 to 6.0% in the fruits of C. angustifolia). The chief compo-nents are sennosides A, A1 and B, as well as sennosides C and D. It also contains naphthalene derivatives including 6-hydroxymusizin ",,,,,,,,,,,977083-19-4,"Tincture, fluid extract, soft aqueous extract, dried aqueous extract, dried purified extract and tincture prepared from the fluid extract",,,,,,,,,
SERPENTARIA,"Aristolochia serpentaria L",Aristolochiaceae,"Virginia snakeroot",,,,6360,,,,,"Serpentaria is a perennial, herbaceous plant, with an extremely fibrous, knotty, brown, aromatic root, sending up numerous stems. The plant grows 12 to 45 cm (5 to 18 in ) high, with ovate or oblong leaves; short-peduncled flowers next to the root. The plant is native to the United States (Virginia, Louisiana, Arkansas). The part used is the root. Serpentaria has an aromatic, spicy odor similar to valerian and ginger. The oil, obtained by steam distillation of the dried roots in approximately 1.0 to 1.2% yields, has an odor reminiscent of valerian and ginger ","<1.00 lb","<1.00 mg/kg/day",,"21 CFR 175.510",,,,Natural,"(Burdock, 1997); Acid value (max); 2.0–3.0; Refractive index; 1.4972–1.4980 (20°C); Ester value; 65–80; Solubility; 1:15–20 in 80% ethanol; 1:0.5 in 90% ; ethanol; Optical rotation; +21° to + 26°; Specific gravity; 0.961–0.9901 (15°C)",,,,,,,,977002-55-3,"Tincture (fresh plant, 1:2, dry root, 1:5, 70% ethanol)",,"The above specifications are for the oil obtained by steam distillation of the dried roots","Serpentaire de Virginie (Fr ), Virginische Schlangenwurzel (Ger ), Serpentaria (Sp ), Aristolochia serpentaria (It )",,,"The rhizome and roots of A. reticulata contain volatile oil (1%), resin, soluble in petroleum ether (3.2%), resin, soluble in ether (1.9%); tannin, gum, starch (6.48%), dextrin, sugar, malic acid, calcium oxalate, etc , and a crystallizable alkaloid called aristolochine. The main constituents of the oil include pinene, borneol (esterified), probably tiglic acid and a terpene ",,,"The oil is a light-brown liquid"
SESAME,"Sesamum indicum L",Pedaliaceae,"Benne; Gingilly; Teel",,,,6407,,,,,"S. indicum is a genus of tropical African and Indian herbs. It is a rough, hairy, gummy, annual plant, about 70 to 80 cm high, having petiolate, ovate-lanceolate leaves, slightly toothed and mucilaginous. The pale or rose-colored flowers are solitary in the axils. The plant is cultivated for its black or white seeds. The seeds are tiny, oval shaped, sweet and oleaginous. Sesame seeds have a rich, nut-like flavor when roasted. Sesame oil is second only to coconut oil for culinary purposes, food and medicine; it is also used as a substitute for olive oil. The part used is the seed (oil) ","4,383,333.33 lb ","3.7146 mg/kg/day",,"21 CFR 182.10; 172.854; 582.10","HOC (1992)",,,Natural,,,,"Aroma characteristics at 100%; roasted nutty, sesame, peanut, hazelnut-like with some ashy coffee nuances ","Taste characteristics of extract at 650 ppm; nutty, roasted, pyrazine, cocoa and coffee, with a slightly smoky, savory nuance. Taste characteristics at 0.1%:roasted nutty, ashy coffee, sesame with a fatty, oily peanut-like note ",,,,977052-01-9,,,,"Sesam (Ger ), Sesamo (Sp ), Sesamo (It )",,,"The seeds by expression yield a fixed oil consisting essentially of the glycerides of oleic and linoleic acids with small amounts of stearin, palmitin and myristin. Liquid fatty acids are present to about 70%, solid fatty acids 12 to 14% ",,,
SIMARUBA,"Simaruba amara Aubl",Simarubaceae,"Gavilan;  Negrito;  Marubá;  Marupá;  Dysentery. Bark;  Palo. Blanco;  Robleceillo;  Daguilla;  Palo. Amargo;  Quasia Amarga; Quassia Amer; Quinquina D’Europe; Bois Amer; Bois Blanc; Bois Frene; Bois Negresse",,,,6361,,,,,"Chiefly tropical trees and shrubs having bitter-tonic bark, mainly pinnate leaves, and small three- to five-merous flow-ers with a prominent disk. The fruit is either a drupe, a samara or a berry. The bark contains an essential oil and a bitter principle. Most of the Simarubaceae contain a bitter principle and sometimes a resinous matter and oil that are of value as a tonic. Branches of quassia and the pulverized bitter wood of Simaruba species are used in tropical America to drive away insects. The bark is the only part used. Simaruba is tonic, digestive and bitter ","<1.00 lb",,,"21 CFR172.510",,,,Natural,,,,,,,,,977029-60-9,,,,"Simarouba (Fr ), Ruhrrinde (Ger ), Simaruba (Sp ), Simaruba (It )",,,"Simaruba root-bark contains a bitter principle identical with quassin, a resinous matter, a volatile oil having the odor of benzoin, malic acid and gallic acid in very small proportion, an ammoniacal salt, calcium malate and oxalate, some mineral salts, ferric oxide, silica, ulmin and lignin. Several phytochemicals including 15-hydroxyailanthone, 15-o-β-d-glucopyranosylglaucarubol, 15-o-β-d-glucopyranosylglaucarubolone, arachidic acid, δ-13-(18)-glaucarubin, glaucarubin, glaucarubinone, glaucarubolone, lin-oleic acid, linolenic acid, oleic acid, palmitic acid, palmitoleic acid and stearic acid have been isolated from Simaruba. Simaruba yields 0.2% of the bitter principles containing quassin, neoquassin and a yellow crystalline substance ",,,
SKATOLE,,,"Indole, 3-methyl; Indole, 3-methyl-; 1H-Indole, 3-methyl; 1H-Indole, 3-methyl-; beta-Methylindole; 3-Methylindole; 3-Methyl-1H-indole; 3-Mi; Scatole; Skatol; Skatole",83-34-1,14.004,3019,3019,493,201-471-7,1304,,"Skatole has a characteristic putrid, fecal odor at high concentrations, becoming pleasant, jasmine-like, fruity sweet, warm at very low concentrations. It has a warm overripe fruity flavor below 1 ppm ","1.67 lb","0.00000141 mg/kg/day","1 ppm","21 CFR 172.515",,"Acceptable. No safety concern at current levels of intake when used as a flavoring agent (2004)","0.151 mg","Nature Identical","(JECFA, 2008); Appearance; White scales or powder; Melting point; 95–97°C; Assay (min); 97%; Solubility; Soluble in ethanol and boiling water","(FEMA, 1994)","[['Alcoholic beverages', '0.58', '0.89'], ['Gelatins, puddings', '0.19', '0.51'], ['Baked goods', '0.44', '0.95'], ['Nonalcoholic beverages', '0.47', '0.73'], ['Chewing gum', '0.13', '0.13'], ['Soft candy', '0.57', '1.15'], ['Frozen dairy', '0.63', '1.26']]","0.2 ppb",,C9H9N/131.18CH3NH,"Indoles (skatole) with various substituents in the 2 and 3 position can be synthesized via the Fisher indole synthesis, which involves two steps and utilizes a phenylhydrazine and an aliphatic or aromatic aldehyde or ketone as starting materials ","Reported found in beetroot, feces, coal tar, Swiss cheese, Gruyere cheese, mozarella cheese, butter, milk, goat and sheep milk, boiled egg, fatty fish, coffee, tea, trassi, rice bran, dried bonito and squid ",,,,,,,,,,,
